Borough,Control,Condition of External Walls,Condition of Windows,Condition of Stairways,Condition of Floors,Condition of Building,Number of Units in Building,Complete Plumbing Facilities,Toilet Breakdowns,Kitchen Facilities Functioning,Monthly Contract Rent,Senior Citizen Rent Increase Exemption (SCRIE),Public Assistance Shelter Allowance,Another Federal Housing Subsidy Program,Another State or City Housing Subsidy Program,Heating Equipment Breakdown,Exterminator Service,Cracks or Holes in Interior Walls or Ceiling,Broken Plaster or Peeling Paint on Ceiling or Inside Walls,Water Leakage Inside Apartment,Year Built,Owner in Building,Length of Lease,Race,New Rent Law,Old,More_units,Brooklyn,Manhattan,Staten Island,Bronx,score,good
3,1,999919,99919,991999,999919,2,12,0,2,1,1400,9,2,2,2,1,2,2,1,2,7,2,2,1,1,1,1,0,1,0,0,10,1
2,0,999919,99919,991999,999919,2,5,0,1,1,1800,9,2,2,2,1,2,2,1,2,7,2,6,4,1,1,0,1,0,0,0,8,1
2,1,999919,99919,991999,999919,2,11,0,2,1,1200,9,2,2,2,1,4,1,1,2,9,2,4,2,1,1,0,1,0,0,0,8,1
2,1,999919,99919,991999,999919,2,13,0,2,1,1234,9,2,2,2,1,5,2,1,2,5,3,4,2,1,0,1,1,0,0,0,10,1
2,1,999919,99919,991999,991999,2,13,0,8,8,2300,9,2,2,2,8,8,8,8,8,8,8,8,1,1,1,1,1,0,0,0,2,0
2,1,999919,99919,991999,999919,2,12,0,2,1,1200,2,2,2,2,1,1,2,1,2,8,3,2,1,1,1,1,1,0,0,0,10,1
4,1,999919,99919,991999,999919,2,12,0,2,1,1200,9,2,2,2,1,5,2,1,1,8,3,4,1,1,1,1,0,0,0,0,8,1
4,1,999919,99919,991999,999919,2,11,0,2,1,1210,9,2,2,2,1,1,2,1,2,7,2,2,2,1,1,0,0,0,0,0,10,1
2,0,999919,91999,199999,999991,3,7,0,2,1,1200,9,2,2,2,1,5,2,8,2,10,2,2,4,1,1,0,1,0,0,0,4,0
1,1,999919,99919,991999,999919,2,11,0,2,1,400,9,2,2,2,1,1,2,1,2,9,2,2,1,1,1,0,0,0,0,1,10,1
3,1,999919,99919,991999,999919,2,11,0,2,1,1450,9,2,2,2,1,1,2,1,2,9,2,2,1,1,1,0,0,1,0,0,10,1
4,0,999919,99919,991999,999919,2,1,0,2,1,99999,9,9,9,9,1,2,2,1,2,6,2,9,4,1,0,0,0,0,0,0,10,1
2,0,999919,99919,999991,999991,8,3,0,2,1,1400,9,2,2,2,1,2,2,1,2,6,2,8,1,1,0,0,1,0,0,0,8,1
3,0,999919,99919,991999,999919,2,13,0,2,1,3300,9,2,2,2,1,1,2,1,2,5,2,2,1,1,0,1,0,1,0,0,10,1
2,0,999919,99919,888888,199999,2,3,0,2,1,1500,9,2,2,2,0,4,2,1,1,1,2,2,1,1,0,0,1,0,0,0,3,0
2,0,999919,99919,991999,999919,2,3,0,2,1,800,9,2,2,2,1,2,1,1,1,8,1,6,1,1,1,0,1,0,0,0,6,0
1,1,999919,99919,991999,999919,2,12,0,2,1,731,9,2,2,2,1,1,1,0,1,8,2,4,2,1,1,1,0,0,0,1,4,0
3,1,999919,99991,991999,999919,2,10,0,8,8,1200,9,2,2,2,1,1,2,1,2,10,2,2,1,1,1,0,0,1,0,0,7,0
1,0,999919,99919,991999,999919,2,1,0,2,1,1110,9,2,2,2,1,4,2,1,2,9,2,8,2,1,1,0,0,0,0,1,10,1
2,1,999919,99919,991999,999919,2,8,0,2,1,990,9,2,2,2,0,4,2,1,2,7,2,2,1,1,1,0,1,0,0,0,8,1
